MAIRA Recording v3
Mazda MX-5 Cup @ Summit Point Raceway -  (1%, 84s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,WheelPosition,WheelVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,TrackPosition,YawNorth,VelocityX,Speed
0.8746502,0.88341266,0.0010490417,0.08208661,0.04452784,0.041038353,0.005813718,0,0,0,-3.7902348E-05,-0.083313406,6555.226,7200,4,6,False,47.916603,0.00090807583,-0.043046646,17.278645,-0.014477222,32.778164,3.4669394,47.916603,47.916603
0.8746502,0.89173245,0.0010490417,0.08208661,0.04452784,0.041038353,0.005813718,0,0,0,-3.7902348E-05,-0.083313406,6555.226,7200,4,6,False,47.916603,0.00090807583,-0.043046646,17.278645,-0.014477222,32.778164,3.4669394,47.916603,47.916603
0.8746502,0.8746502,0.0010490417,0.08208661,0.04452784,0.041038353,0.005813718,0,0,0,-3.7902348E-05,-0.083313406,6555.226,7200,4,6,False,47.916603,0.00090807583,-0.043046646,17.278645,-0.014477222,32.778164,3.4669394,47.916603,47.916603
0.7978397,0.7510155,-0.02202797,0.079109125,0.07033738,0.0819613,0.00566113,-0.0091552725,0,0,-0.00052508037,-0.07308759,6566.5527,7200,4,6,False,47.931896,0.012584048,-0.041597046,17.278645,0.086975984,33.576843,3.4672918,47.931896,47.931896
0.7978397,0.6451903,-0.018888474,0.079109125,0.07033738,0.0819613,0.00566113,-0.0091552725,0,0,-0.00052508037,-0.07308759,6566.5527,7200,4,6,False,47.931896,0.012584048,-0.041597046,17.278645,0.086975984,33.576843,3.4672918,47.931896,47.931896
0.7978397,0.58377165,0.03160286,0.079109125,0.07033738,0.0819613,0.00566113,-0.0091552725,0,0,-0.00052508037,-0.07308759,6566.5527,7200,4,6,False,47.931896,0.012584048,-0.041597046,17.278645,0.086975984,33.576843,3.4672918,47.931896,47.931896
0.7978397,0.58267325,-0.050079346,0.079109125,0.07033738,0.0819613,0.00566113,-0.0091552725,0,0,-0.00052508037,-0.07308759,6566.5527,7200,4,6,False,47.931896,0.012584048,-0.041597046,17.278645,0.086975984,33.576843,3.4672918,47.931896,47.931896
0.7978397,0.65367955,-0.08060646,0.079109125,0.07033738,0.0819613,0.00566113,-0.0091552725,0,0,-0.00052508037,-0.07308759,6566.5527,7200,4,6,False,47.931896,0.012584048,-0.041597046,17.278645,0.086975984,33.576843,3.4672918,47.931896,47.931896
0.7978397,0.7978397,-0.032953262,0.079109125,0.07033738,0.0819613,0.00566113,-0.0091552725,0,0,-0.00052508037,-0.07308759,6566.5527,7200,4,6,False,47.931896,0.012584048,-0.041597046,17.278645,0.086975984,33.576843,3.4672918,47.931896,47.931896
1.251828,0.93805945,0.0666523,0.07631198,0.058990803,0.10304083,0.005294919,-0.021972654,0,0,-0.00090920797,-0.06285495,6569.3447,7200,4,6,False,47.94708,0.02179693,-0.038935393,17.278645,0.15969916,34.375805,3.467681,47.947075,47.94708
1.251828,1.0874337,0.070863724,0.07631198,0.058990803,0.10304083,0.005294919,-0.021972654,0,0,-0.00090920797,-0.06285495,6569.3447,7200,4,6,False,47.94708,0.02179693,-0.038935393,17.278645,0.15969916,34.375805,3.467681,47.947075,47.94708
1.251828,1.1698887,0.011587143,0.07631198,0.058990803,0.10304083,0.005294919,-0.021972654,0,0,-0.00090920797,-0.06285495,6569.3447,7200,4,6,False,47.94708,0.02179693,-0.038935393,17.278645,0.15969916,34.375805,3.467681,47.947075,47.94708
1.251828,1.214295,-0.02873993,0.07631198,0.058990803,0.10304083,0.005294919,-0.021972654,0,0,-0.00090920797,-0.06285495,6569.3447,7200,4,6,False,47.94708,0.02179693,-0.038935393,17.278645,0.15969916,34.375805,3.467681,47.947075,47.94708
1.251828,1.2402455,0.043390274,0.07631198,0.058990803,0.10304083,0.005294919,-0.021972654,0,0,-0.00090920797,-0.06285495,6569.3447,7200,4,6,False,47.94708,0.02179693,-0.038935393,17.278645,0.15969916,34.375805,3.467681,47.947075,47.94708
